A,B
50368,5.51E-06
66796,5.51E-06
21487,5.51E-06
15171,5.51E-06
26432,5.51E-06
14261,5.51E-06
39502,5.51E-06
37345,5.51E-06
27720,5.51E-06
14292,5.51E-06
34117,5.51E-06
13188,5.51E-06
30967,5.51E-06
32715,5.51E-06
32441,5.51E-06
20684,5.51E-06
55983,5.51E-06
65781,5.51E-06
39187,5.51E-06
71462,5.51E-06
7358,5.51E-06
66829,5.51E-06
70231,5.51E-06
25536,5.51E-06
2014,5.51E-06
10438,5.51E-06
57121,5.51E-06
70738,5.50E-06
41313,5.50E-06
264,5.50E-06
18497,5.50E-06
40605,5.50E-06
55585,5.50E-06
40067,5.50E-06
17960,5.50E-06
8687,5.50E-06
11689,5.50E-06
21324,5.50E-06
39214,5.50E-06
13860,5.50E-06
25805,5.50E-06
55625,5.50E-06
2843,5.50E-06
64092,5.50E-06
33314,5.50E-06
37595,5.50E-06
17013,5.50E-06
55591,5.50E-06
35076,5.50E-06
4328,5.50E-06
21765,5.50E-06
59361,5.50E-06
69247,5.50E-06
27670,5.50E-06
58006,5.50E-06
46949,5.50E-06
52538,5.50E-06
30210,5.50E-06
50999,5.50E-06
51000,5.50E-06
15965,5.50E-06
9891,5.50E-06
33541,5.50E-06
62670,5.50E-06
62671,5.50E-06
62672,5.50E-06
60643,5.50E-06
11839,5.50E-06
7099,5.50E-06
32885,5.50E-06
69127,5.49E-06
1704,5.49E-06
68716,5.49E-06
4505,5.49E-06
29692,5.49E-06
69959,5.49E-06
33921,5.49E-06
67308,5.49E-06
13665,5.49E-06
49053,5.49E-06
49054,5.49E-06
49055,5.49E-06
49056,5.49E-06
52414,5.49E-06
71326,5.49E-06
13243,5.49E-06
17720,5.49E-06
62415,5.49E-06
41569,5.49E-06
9482,5.49E-06
32793,5.49E-06
25823,5.49E-06
21935,5.49E-06
3575,5.49E-06
71577,5.49E-06
43389,5.49E-06
24390,5.49E-06
41660,5.49E-06
52849,5.49E-06
52850,5.49E-06
25373,5.49E-06
8462,5.49E-06
34551,5.49E-06
65970,5.48E-06
1215,5.48E-06
30979,5.48E-06
32481,5.48E-06
53707,5.48E-06
37423,5.48E-06
62178,5.48E-06
22916,5.48E-06
48949,5.48E-06
48650,5.48E-06
53868,5.48E-06
66593,5.48E-06
66594,5.48E-06
48591,5.48E-06
54067,5.48E-06
61357,5.48E-06
6570,5.48E-06
16795,5.48E-06
59301,5.48E-06
56606,5.48E-06
34574,5.48E-06
66261,5.48E-06
18658,5.47E-06
74044,5.47E-06
50327,5.47E-06
30806,5.47E-06
65125,5.47E-06
24334,5.47E-06
37134,5.47E-06
74434,5.47E-06
43171,5.47E-06
40329,5.47E-06
63173,5.47E-06
33981,5.47E-06
12894,5.47E-06
56666,5.47E-06
35514,5.47E-06
17615,5.47E-06
28477,5.47E-06
42037,5.47E-06
26223,5.47E-06
56971,5.47E-06
56972,5.47E-06
22507,5.47E-06
28032,5.47E-06
48830,5.47E-06
4627,5.47E-06
16230,5.46E-06
52091,5.46E-06
68470,5.46E-06
71290,5.46E-06
60805,5.46E-06
50181,5.46E-06
39994,5.46E-06
32084,5.46E-06
54317,5.46E-06
22949,5.46E-06
51566,5.46E-06
280,5.46E-06
21095,5.46E-06
55778,5.46E-06
23767,5.46E-06
20150,5.46E-06
59733,5.46E-06
41568,5.46E-06
33144,5.46E-06
21675,5.46E-06
54665,5.46E-06
67345,5.46E-06
3158,5.46E-06
26579,5.46E-06
69973,5.46E-06
67388,5.46E-06
67390,5.46E-06
67391,5.46E-06
67392,5.46E-06
67393,5.46E-06
67395,5.46E-06
67396,5.46E-06
15320,5.46E-06
33961,5.46E-06
55253,5.46E-06
22017,5.46E-06
36668,5.46E-06
6386,5.46E-06
62362,5.46E-06
20309,5.46E-06
13115,5.46E-06
28220,5.46E-06
60547,5.46E-06
16486,5.46E-06
57424,5.45E-06
22587,5.45E-06
21443,5.45E-06
12971,5.45E-06
75311,5.45E-06
15896,5.45E-06
19264,5.45E-06
49227,5.45E-06
62809,5.45E-06
51219,5.45E-06
8028,5.45E-06
9085,5.45E-06
22439,5.45E-06
54684,5.45E-06
68052,5.45E-06
55341,5.45E-06
5751,5.45E-06
41448,5.45E-06
8056,5.45E-06
36607,5.45E-06
61709,5.45E-06
61477,5.45E-06
30656,5.45E-06
51206,5.45E-06
24059,5.45E-06
3192,5.45E-06
38401,5.45E-06
34903,5.45E-06
63328,5.45E-06
16879,5.45E-06
49356,5.45E-06
52687,5.45E-06
52688,5.45E-06
52691,5.45E-06
30670,5.45E-06
41433,5.44E-06
66394,5.44E-06
58366,5.44E-06
30481,5.44E-06
34582,5.44E-06
11989,5.44E-06
47504,5.44E-06
30616,5.44E-06
29261,5.44E-06
46491,5.44E-06
46507,5.44E-06
17838,5.44E-06
44864,5.44E-06
32675,5.44E-06
35638,5.44E-06
35198,5.44E-06
23162,5.44E-06
5718,5.44E-06
8475,5.44E-06
7874,5.44E-06
43804,5.44E-06
43805,5.44E-06
61875,5.44E-06
43159,5.44E-06
66383,5.43E-06
42263,5.43E-06
35945,5.43E-06
40395,5.43E-06
7383,5.43E-06
53708,5.43E-06
55430,5.43E-06
53286,5.43E-06
24872,5.43E-06
181,5.43E-06
49453,5.43E-06
43152,5.43E-06
59629,5.43E-06
13761,5.43E-06
43813,5.43E-06
43814,5.43E-06
43816,5.43E-06
43817,5.43E-06
45468,5.43E-06
8377,5.43E-06
55991,5.43E-06
27728,5.43E-06
11325,5.43E-06
66075,5.43E-06
13343,5.43E-06
20144,5.43E-06
51376,5.42E-06
11403,5.42E-06
22383,5.42E-06
20780,5.42E-06
30409,5.42E-06
21756,5.42E-06
75471,5.42E-06
28871,5.42E-06
28873,5.42E-06
3532,5.42E-06
48399,5.42E-06
14492,5.42E-06
31192,5.42E-06
3056,5.42E-06
1961,5.42E-06
52585,5.42E-06
52586,5.42E-06
37084,5.42E-06
73501,5.42E-06
73580,5.42E-06
52212,5.42E-06
9437,5.42E-06
31588,5.42E-06
34608,5.42E-06
28844,5.42E-06
48817,5.42E-06
1671,5.42E-06
63197,5.42E-06
8128,5.42E-06
16878,5.41E-06
43610,5.41E-06
51103,5.41E-06
1058,5.41E-06
69082,5.41E-06
2679,5.41E-06
31911,5.41E-06
22886,5.41E-06
69390,5.41E-06
8186,5.41E-06
39259,5.41E-06
8551,5.41E-06
3215,5.41E-06
46205,5.41E-06
58472,5.41E-06
28664,5.41E-06
16443,5.41E-06
12541,5.41E-06
45316,5.41E-06
65253,5.41E-06
65254,5.41E-06
11473,5.41E-06
57134,5.41E-06
20732,5.41E-06
19814,5.41E-06
36048,5.41E-06
13326,5.41E-06
69271,5.41E-06
4270,5.41E-06
20698,5.41E-06
36971,5.41E-06
7575,5.41E-06
40680,5.41E-06
11961,5.41E-06
64456,5.41E-06
28494,5.40E-06
33986,5.40E-06
16201,5.40E-06
5498,5.40E-06
18204,5.40E-06
64854,5.40E-06
64855,5.40E-06
64858,5.40E-06
1689,5.40E-06
33311,5.40E-06
39860,5.40E-06
18146,5.40E-06
41793,5.40E-06
10452,5.40E-06
31223,5.40E-06
42125,5.40E-06
26030,5.40E-06
60704,5.40E-06
60705,5.40E-06
60706,5.40E-06
20310,5.40E-06
20509,5.40E-06
21760,5.40E-06
67818,5.40E-06
31124,5.40E-06
43871,5.40E-06
38808,5.39E-06
59189,5.39E-06
46583,5.39E-06
9188,5.39E-06
17268,5.39E-06
52781,5.39E-06
7791,5.39E-06
56009,5.39E-06
19305,5.39E-06
17174,5.39E-06
46218,5.39E-06
32949,5.39E-06
10695,5.39E-06
31650,5.39E-06
54245,5.39E-06
68395,5.39E-06
50451,5.39E-06
50452,5.39E-06
50453,5.39E-06
50454,5.39E-06
50455,5.39E-06
12398,5.39E-06
16313,5.39E-06
16260,5.39E-06
11552,5.39E-06
61691,5.39E-06
26150,5.39E-06
36638,5.39E-06
53546,5.39E-06
53547,5.39E-06
63709,5.39E-06
20979,5.39E-06
24986,5.39E-06
53621,5.39E-06
42063,5.38E-06
69302,5.38E-06
32436,5.38E-06
65640,5.38E-06
41595,5.38E-06
66592,5.38E-06
46499,5.38E-06
12635,5.38E-06
15947,5.38E-06
42664,5.38E-06
28627,5.38E-06
35741,5.38E-06
23417,5.38E-06
40565,5.38E-06
25169,5.38E-06
41416,5.38E-06
14377,5.38E-06
57031,5.38E-06
3447,5.38E-06
48183,5.38E-06
26051,5.38E-06
37722,5.38E-06
7563,5.38E-06
54532,5.38E-06
53668,5.38E-06
4101,5.38E-06
6712,5.37E-06
47581,5.37E-06
33742,5.37E-06
30731,5.37E-06
16785,5.37E-06
43891,5.37E-06
46826,5.37E-06
25469,5.37E-06
11796,5.37E-06
64789,5.37E-06
64788,5.37E-06
37843,5.37E-06
27379,5.37E-06
37339,5.37E-06
13535,5.37E-06
32131,5.37E-06
34876,5.37E-06
61498,5.37E-06
6975,5.37E-06
59488,5.37E-06
59491,5.37E-06
33730,5.37E-06
17236,5.37E-06
8427,5.37E-06
5389,5.37E-06
18250,5.37E-06
39670,5.37E-06
25625,5.37E-06
7719,5.37E-06
11908,5.37E-06
14496,5.36E-06
24351,5.36E-06
61898,5.36E-06
10943,5.36E-06
7467,5.36E-06
28718,5.36E-06
53022,5.36E-06
39203,5.36E-06
40992,5.36E-06
11263,5.36E-06
4678,5.36E-06
60090,5.36E-06
7309,5.36E-06
37630,5.36E-06
69486,5.36E-06
10353,5.36E-06
62246,5.36E-06
15788,5.36E-06
69136,5.36E-06
69137,5.36E-06
14826,5.36E-06
33122,5.36E-06
16222,5.36E-06
36291,5.36E-06
46562,5.36E-06
74540,5.36E-06
65409,5.36E-06
308,5.36E-06
37326,5.35E-06
63475,5.35E-06
65845,5.35E-06
35637,5.35E-06
40340,5.35E-06
59104,5.35E-06
18776,5.35E-06
20810,5.35E-06
34023,5.35E-06
38974,5.35E-06
10807,5.35E-06
35907,5.35E-06
17383,5.35E-06
19884,5.35E-06
5091,5.35E-06
69855,5.35E-06
10358,5.35E-06
33270,5.35E-06
74178,5.35E-06
45007,5.35E-06
51588,5.35E-06
53842,5.35E-06
16958,5.35E-06
24131,5.35E-06
41681,5.35E-06
66040,5.35E-06
15128,5.35E-06
67932,5.35E-06
13068,5.35E-06
23919,5.34E-06
37431,5.34E-06
15721,5.34E-06
68104,5.34E-06
59840,5.34E-06
68861,5.34E-06
43169,5.34E-06
19629,5.34E-06
12625,5.34E-06
55358,5.34E-06
2199,5.34E-06
15675,5.34E-06
71545,5.34E-06
31785,5.34E-06
32657,5.34E-06
20471,5.34E-06
46948,5.34E-06
7647,5.34E-06
16280,5.34E-06
15047,5.34E-06
39221,5.34E-06
19156,5.34E-06
66717,5.34E-06
807,5.34E-06
2913,5.34E-06
4755,5.34E-06
5445,5.34E-06
6847,5.34E-06
8126,5.34E-06
9096,5.34E-06
9887,5.34E-06
10066,5.34E-06
10402,5.34E-06
10808,5.34E-06
15464,5.34E-06
16671,5.34E-06
16767,5.34E-06
18919,5.34E-06
20085,5.34E-06
20352,5.34E-06
21267,5.34E-06
22493,5.34E-06
23497,5.34E-06
23662,5.34E-06
24301,5.34E-06
24834,5.34E-06
25251,5.34E-06
27867,5.34E-06
29586,5.34E-06
29806,5.34E-06
30032,5.34E-06
32049,5.34E-06
32291,5.34E-06
32593,5.34E-06
33598,5.34E-06
34562,5.34E-06
35059,5.34E-06
36239,5.34E-06
36391,5.34E-06
36495,5.34E-06
36575,5.34E-06
36973,5.34E-06
37492,5.34E-06
40317,5.34E-06
41412,5.34E-06
44371,5.34E-06
49357,5.34E-06
50676,5.34E-06
51911,5.34E-06
52650,5.34E-06
53036,5.34E-06
54668,5.34E-06
54962,5.34E-06
55217,5.34E-06
56283,5.34E-06
57188,5.34E-06
57291,5.34E-06
57978,5.34E-06
59006,5.34E-06
61934,5.34E-06
63403,5.34E-06
64233,5.34E-06
64838,5.34E-06
65703,5.34E-06
66205,5.34E-06
66468,5.34E-06
67346,5.34E-06
70196,5.34E-06
71390,5.34E-06
71768,5.34E-06
71901,5.34E-06
71962,5.34E-06
72178,5.34E-06
72283,5.34E-06
72285,5.34E-06
73031,5.34E-06
73934,5.34E-06
74683,5.34E-06
75090,5.34E-06
57447,5.34E-06
36629,5.34E-06
32090,5.34E-06
4597,5.34E-06
50375,5.34E-06
9225,5.34E-06
45236,5.34E-06
13003,5.34E-06
13857,5.34E-06
11664,5.33E-06
68085,5.33E-06
19066,5.33E-06
33892,5.33E-06
1968,5.33E-06
52741,5.33E-06
18794,5.33E-06
7920,5.33E-06
1801,5.33E-06
53299,5.33E-06
26443,5.33E-06
43225,5.33E-06
65266,5.33E-06
54584,5.33E-06
22005,5.33E-06
41176,5.33E-06
32087,5.33E-06
50528,5.33E-06
31230,5.33E-06
8275,5.33E-06
61861,5.33E-06
47636,5.33E-06
5746,5.33E-06
23397,5.33E-06
12252,5.33E-06
57126,5.32E-06
9758,5.32E-06
16233,5.32E-06
61743,5.32E-06
63024,5.32E-06
21895,5.32E-06
21543,5.32E-06
39875,5.32E-06
15639,5.32E-06
17171,5.32E-06
38281,5.32E-06
30751,5.32E-06
15095,5.32E-06
17208,5.32E-06
51653,5.32E-06
15413,5.32E-06
12123,5.32E-06
2314,5.32E-06
64341,5.32E-06
63296,5.32E-06
21148,5.32E-06
4833,5.32E-06
10747,5.32E-06
39261,5.31E-06
63875,5.31E-06
6821,5.31E-06
47922,5.31E-06
49914,5.31E-06
11389,5.31E-06
11074,5.31E-06
20265,5.31E-06
11604,5.31E-06
66734,5.31E-06
32795,5.31E-06
5534,5.31E-06
57708,5.31E-06
50532,5.31E-06
44238,5.31E-06
40899,5.31E-06
23825,5.31E-06
30643,5.31E-06
46971,5.31E-06
67882,5.31E-06
67883,5.31E-06
7089,5.31E-06
25363,5.31E-06
15453,5.31E-06
17672,5.31E-06
17664,5.31E-06
14000,5.31E-06
66563,5.31E-06
53316,5.31E-06
44622,5.31E-06
40682,5.31E-06
43602,5.30E-06
9746,5.30E-06
63152,5.30E-06
20970,5.30E-06
4295,5.30E-06
9350,5.30E-06
25364,5.30E-06
12968,5.30E-06
62794,5.30E-06
30698,5.30E-06
19544,5.30E-06
12820,5.30E-06
38006,5.30E-06
37098,5.30E-06
33682,5.30E-06
71320,5.30E-06
50812,5.30E-06
30809,5.30E-06
30530,5.30E-06
30276,5.30E-06
50630,5.30E-06
26371,5.30E-06
63002,5.30E-06
68385,5.30E-06
55579,5.30E-06
26904,5.30E-06
69216,5.30E-06
10580,5.30E-06
1874,5.29E-06
68474,5.29E-06
17055,5.29E-06
24906,5.29E-06
13453,5.29E-06
38247,5.29E-06
54777,5.29E-06
12610,5.29E-06
5861,5.29E-06
7118,5.29E-06
61831,5.29E-06
32563,5.29E-06
57872,5.29E-06
69366,5.29E-06
45591,5.29E-06
42617,5.29E-06
39018,5.29E-06
25459,5.29E-06
33762,5.29E-06
27624,5.29E-06
3848,5.29E-06
14047,5.29E-06
24531,5.29E-06
21188,5.29E-06
68799,5.29E-06
27659,5.29E-06
53798,5.29E-06
45033,5.28E-06
16654,5.28E-06
26715,5.28E-06
6751,5.28E-06
29809,5.28E-06
35854,5.28E-06
12927,5.28E-06
43368,5.28E-06
58064,5.28E-06
28894,5.28E-06
57187,5.28E-06
28786,5.28E-06
45629,5.28E-06
63440,5.28E-06
6197,5.28E-06
9277,5.28E-06
17505,5.28E-06
44982,5.28E-06
66755,5.28E-06
26380,5.28E-06
47711,5.28E-06
3358,5.28E-06
37571,5.28E-06
1223,5.28E-06
38510,5.28E-06
27450,5.28E-06
6449,5.28E-06
16590,5.28E-06
59388,5.28E-06
32727,5.28E-06
41625,5.27E-06
12890,5.27E-06
68472,5.27E-06
68473,5.27E-06
23070,5.27E-06
67090,5.27E-06
67091,5.27E-06
21901,5.27E-06
54510,5.27E-06
18050,5.27E-06
8107,5.27E-06
56059,5.27E-06
3218,5.27E-06
71468,5.27E-06
49776,5.27E-06
4997,5.27E-06
21786,5.27E-06
15844,5.27E-06
50030,5.27E-06
70707,5.27E-06
45747,5.27E-06
66331,5.27E-06
40598,5.27E-06
15923,5.27E-06
21967,5.27E-06
67769,5.27E-06
10863,5.27E-06
60284,5.27E-06
60285,5.27E-06
71380,5.27E-06
56593,5.27E-06
13228,5.27E-06
70572,5.27E-06
9444,5.27E-06
24166,5.27E-06
5384,5.27E-06
59850,5.27E-06
18797,5.26E-06
62132,5.26E-06
62133,5.26E-06
62134,5.26E-06
62135,5.26E-06
62136,5.26E-06
3236,5.26E-06
2522,5.26E-06
53361,5.26E-06
61955,5.26E-06
43283,5.26E-06
7158,5.26E-06
11972,5.26E-06
22398,5.26E-06
22399,5.26E-06
65450,5.26E-06
19145,5.26E-06
6651,5.26E-06
31771,5.26E-06
17290,5.26E-06
70985,5.26E-06
10660,5.26E-06
41379,5.26E-06
488,5.26E-06
28897,5.26E-06
61301,5.26E-06
66095,5.26E-06
20364,5.26E-06
58621,5.26E-06
8148,5.26E-06
23333,5.26E-06
6945,5.26E-06
62957,5.26E-06
24403,5.26E-06
14789,5.26E-06
51725,5.26E-06
535,5.26E-06
68016,5.26E-06
70921,5.26E-06
57833,5.26E-06
23847,5.26E-06
24017,5.26E-06
28926,5.26E-06
20739,5.26E-06
23581,5.26E-06
60546,5.26E-06
67638,5.26E-06
67639,5.26E-06
67640,5.26E-06
67641,5.26E-06
58348,5.25E-06
56540,5.25E-06
4181,5.25E-06
48560,5.25E-06
26035,5.25E-06
11417,5.25E-06
31524,5.25E-06
37417,5.25E-06
65431,5.25E-06
31914,5.25E-06
35221,5.25E-06
19852,5.25E-06
22775,5.25E-06
33840,5.25E-06
27772,5.25E-06
8896,5.25E-06
20822,5.25E-06
6340,5.25E-06
31717,5.25E-06
8683,5.25E-06
45782,5.25E-06
44165,5.25E-06
16490,5.25E-06
47195,5.25E-06
58463,5.25E-06
58464,5.25E-06
58465,5.25E-06
58467,5.25E-06
58468,5.25E-06
4859,5.25E-06
8364,5.25E-06
32722,5.25E-06
32725,5.25E-06
19655,5.25E-06
49956,5.25E-06
49961,5.25E-06
48111,5.24E-06
60114,5.24E-06
1963,5.24E-06
64048,5.24E-06
29188,5.24E-06
42111,5.24E-06
4864,5.24E-06
69263,5.24E-06
24918,5.24E-06
12651,5.24E-06
7127,5.24E-06
8305,5.24E-06
12662,5.24E-06
69316,5.24E-06
65361,5.24E-06
20197,5.24E-06
7464,5.24E-06
68524,5.24E-06
16060,5.24E-06
26014,5.24E-06
1151,5.24E-06
48393,5.24E-06
39317,5.24E-06
14672,5.24E-06
28675,5.24E-06
35757,5.24E-06
13078,5.24E-06
66956,5.24E-06
24279,5.24E-06
20605,5.24E-06
9141,5.24E-06
9817,5.24E-06
37745,5.24E-06
42983,5.24E-06
53908,5.24E-06
30474,5.24E-06
33044,5.24E-06
8870,5.24E-06
44667,5.24E-06
50890,5.24E-06
13553,5.24E-06
24885,5.24E-06
17993,5.24E-06
64459,5.24E-06
13149,5.23E-06
66391,5.23E-06
36265,5.23E-06
32798,5.23E-06
49684,5.23E-06
2989,5.23E-06
5054,5.23E-06
49359,5.23E-06
62313,5.23E-06
68092,5.23E-06
16400,5.23E-06
3091,5.23E-06
23044,5.23E-06
18166,5.23E-06
25922,5.23E-06
13859,5.23E-06
13863,5.23E-06
73334,5.23E-06
28034,5.23E-06
64421,5.23E-06
64422,5.23E-06
37680,5.23E-06
26539,5.23E-06
58340,5.23E-06
26626,5.23E-06
12923,5.23E-06
46232,5.23E-06
7773,5.22E-06
48280,5.22E-06
23552,5.22E-06
59459,5.22E-06
11956,5.22E-06
74372,5.22E-06
54858,5.22E-06
70482,5.22E-06
1943,5.22E-06
34006,5.22E-06
64849,5.22E-06
37899,5.22E-06
61168,5.22E-06
9976,5.22E-06
9575,5.22E-06
69694,5.22E-06
40449,5.22E-06
37791,5.22E-06
30595,5.22E-06
39471,5.22E-06
31232,5.22E-06
44637,5.22E-06
41679,5.22E-06
18332,5.22E-06
10761,5.22E-06
16347,5.22E-06
65701,5.22E-06
12720,5.22E-06
15598,5.22E-06
69989,5.22E-06
7956,5.21E-06
58054,5.21E-06
55967,5.21E-06
929,5.21E-06
12605,5.21E-06
45593,5.21E-06
32400,5.21E-06
30241,5.21E-06
45078,5.21E-06
27643,5.21E-06
49162,5.21E-06
62528,5.21E-06
48361,5.21E-06
63488,5.21E-06
69179,5.21E-06
69806,5.21E-06
71322,5.21E-06
49101,5.21E-06
1858,5.21E-06
57164,5.21E-06
60148,5.21E-06
68777,5.21E-06
28405,5.21E-06
30588,5.21E-06
42153,5.21E-06
35524,5.21E-06
58718,5.21E-06
54878,5.21E-06
8983,5.21E-06
69836,5.20E-06
42423,5.20E-06
23665,5.20E-06
64590,5.20E-06
29150,5.20E-06
35709,5.20E-06
25414,5.20E-06
46883,5.20E-06
8075,5.20E-06
33116,5.20E-06
42225,5.20E-06
2726,5.20E-06
14748,5.20E-06
65200,5.20E-06
18622,5.20E-06
60795,5.20E-06
60796,5.20E-06
11344,5.20E-06
66916,5.20E-06
24762,5.20E-06
34651,5.20E-06
6254,5.20E-06
22030,5.20E-06
2604,5.20E-06
43192,5.20E-06
43193,5.20E-06
43194,5.20E-06
10742,5.20E-06
40281,5.20E-06
47576,5.19E-06
68456,5.19E-06
59958,5.19E-06
10532,5.19E-06
31921,5.19E-06
9453,5.19E-06
75142,5.19E-06
8497,5.19E-06
1088,5.19E-06
7088,5.19E-06
48983,5.19E-06
15337,5.19E-06
70688,5.19E-06
51516,5.19E-06
68845,5.19E-06
35784,5.19E-06
28430,5.19E-06
17083,5.19E-06
23016,5.19E-06
23197,5.19E-06
58763,5.19E-06
58764,5.19E-06
20388,5.19E-06
33470,5.19E-06
35633,5.19E-06
26298,5.19E-06
61287,5.19E-06
26733,5.19E-06
14665,5.19E-06
22992,5.19E-06
2832,5.19E-06
48268,5.19E-06
32956,5.18E-06
18081,5.18E-06
62542,5.18E-06
57659,5.18E-06
9959,5.18E-06
18546,5.18E-06
29135,5.18E-06
37535,5.18E-06
56452,5.18E-06
32348,5.18E-06
52646,5.18E-06
64778,5.18E-06
28322,5.18E-06
17871,5.18E-06
9339,5.18E-06
58126,5.18E-06
13578,5.18E-06
3625,5.18E-06
32085,5.18E-06
5604,5.18E-06
40029,5.18E-06
35271,5.17E-06
66619,5.17E-06
47704,5.17E-06
72385,5.17E-06
55565,5.17E-06
63884,5.17E-06
55486,5.17E-06
40024,5.17E-06
51069,5.17E-06
15074,5.17E-06
61163,5.17E-06
54128,5.17E-06
54130,5.17E-06
54131,5.17E-06
46659,5.17E-06
47933,5.17E-06
6852,5.17E-06
22720,5.17E-06
3587,5.17E-06
21070,5.17E-06
65840,5.17E-06
32329,5.17E-06
44162,5.17E-06
47683,5.17E-06
64498,5.17E-06
69363,5.17E-06
60209,5.17E-06
52448,5.17E-06
811,5.17E-06
8139,5.17E-06
8725,5.17E-06
41267,5.17E-06
64655,5.17E-06
64656,5.17E-06
60075,5.17E-06
60280,5.17E-06
26903,5.17E-06
28578,5.17E-06
60829,5.16E-06
60830,5.16E-06
70489,5.16E-06
40197,5.16E-06
43928,5.16E-06
51901,5.16E-06
51902,5.16E-06
36417,5.16E-06
45432,5.16E-06
26416,5.16E-06
43564,5.16E-06
23639,5.16E-06
34674,5.16E-06
34675,5.16E-06
64239,5.16E-06
65637,5.16E-06
52327,5.16E-06
47749,5.16E-06
47750,5.16E-06
8110,5.16E-06
39879,5.16E-06
21281,5.16E-06
28012,5.16E-06
46486,5.16E-06
65343,5.16E-06
70431,5.16E-06
57981,5.15E-06
42085,5.15E-06
12788,5.15E-06
35395,5.15E-06
40685,5.15E-06
40686,5.15E-06
44099,5.15E-06
27788,5.15E-06
7746,5.15E-06
32863,5.15E-06
32948,5.15E-06
32072,5.15E-06
59621,5.15E-06
20127,5.15E-06
43285,5.15E-06
12569,5.15E-06
37868,5.15E-06
10706,5.15E-06
3451,5.15E-06
42189,5.15E-06
14754,5.15E-06
54533,5.15E-06
31478,5.15E-06
35051,5.14E-06
25602,5.14E-06
8189,5.14E-06
5799,5.14E-06
29459,5.14E-06
41842,5.14E-06
71042,5.14E-06
26813,5.14E-06
62404,5.14E-06
70064,5.14E-06
70065,5.14E-06
29330,5.14E-06
30190,5.14E-06
70138,5.14E-06
74937,5.14E-06
8295,5.14E-06
28537,5.14E-06
26477,5.14E-06
5023,5.14E-06
45330,5.14E-06
19384,5.14E-06
66540,5.14E-06
5062,5.14E-06
31628,5.14E-06
18943,5.14E-06
32187,5.14E-06
44626,5.14E-06
48577,5.14E-06
21775,5.14E-06
25715,5.14E-06
57955,5.14E-06
62420,5.14E-06
2416,5.14E-06
12738,5.14E-06
68289,5.14E-06
49705,5.13E-06
56454,5.13E-06
22845,5.13E-06
50869,5.13E-06
63018,5.13E-06
55082,5.13E-06
59837,5.13E-06
59838,5.13E-06
59839,5.13E-06
59841,5.13E-06
59842,5.13E-06
26542,5.13E-06
48133,5.13E-06
59624,5.13E-06
4897,5.13E-06
66400,5.13E-06
16803,5.13E-06
16448,5.13E-06
21752,5.13E-06
74302,5.13E-06
9144,5.13E-06
23067,5.13E-06
34808,5.13E-06
6858,5.13E-06
38095,5.13E-06
57631,5.13E-06
66376,5.13E-06
66377,5.13E-06
66379,5.13E-06
48896,5.13E-06
608,5.13E-06
14911,5.13E-06
27702,5.13E-06
63998,5.13E-06
23882,5.13E-06
5899,5.13E-06
48762,5.13E-06
15967,5.13E-06
42623,5.13E-06
42624,5.13E-06
34039,5.13E-06
10468,5.12E-06
21190,5.12E-06
59048,5.12E-06
47398,5.12E-06
12195,5.12E-06
51505,5.12E-06
29192,5.12E-06
69686,5.12E-06
35868,5.12E-06
38836,5.12E-06
44633,5.12E-06
52673,5.12E-06
37382,5.12E-06
13606,5.12E-06
59405,5.12E-06
63700,5.12E-06
14577,5.12E-06
63058,5.12E-06
51457,5.12E-06
21109,5.12E-06
13088,5.12E-06
61670,5.12E-06
71189,5.12E-06
8290,5.12E-06
67994,5.12E-06
13279,5.12E-06
17035,5.12E-06
49471,5.11E-06
32829,5.11E-06
39795,5.11E-06
7092,5.11E-06
40762,5.11E-06
71452,5.11E-06
19197,5.11E-06
52223,5.11E-06
32659,5.11E-06
32660,5.11E-06
32662,5.11E-06
6929,5.11E-06
60842,5.11E-06
59978,5.11E-06
28350,5.11E-06
12170,5.11E-06
41323,5.11E-06
60756,5.11E-06
69739,5.11E-06
39473,5.11E-06
31344,5.11E-06
19775,5.11E-06
67360,5.11E-06
12294,5.11E-06
9329,5.11E-06
11449,5.10E-06
22253,5.10E-06
39460,5.10E-06
29527,5.10E-06
41517,5.10E-06
7670,5.10E-06
26066,5.10E-06
16712,5.10E-06
29607,5.10E-06
29063,5.10E-06
28700,5.10E-06
41104,5.10E-06
58071,5.10E-06
25401,5.10E-06
28691,5.10E-06
65369,5.10E-06
8313,5.10E-06
7351,5.10E-06
1945,5.10E-06
61135,5.10E-06
65378,5.10E-06
69914,5.10E-06
29583,5.10E-06
62478,5.10E-06
1452,5.10E-06
58994,5.10E-06
38169,5.10E-06
27291,5.10E-06
7949,5.10E-06
23456,5.10E-06
25258,5.10E-06
30795,5.10E-06
30810,5.10E-06
30811,5.10E-06
30813,5.10E-06
30814,5.10E-06
30815,5.10E-06
19721,5.10E-06
31980,5.10E-06
71195,5.09E-06
23527,5.09E-06
6313,5.09E-06
23746,5.09E-06
63741,5.09E-06
25387,5.09E-06
11992,5.09E-06
19401,5.09E-06
48686,5.09E-06
23078,5.09E-06
52574,5.09E-06
22303,5.09E-06
37893,5.09E-06
25354,5.09E-06
16968,5.09E-06
64782,5.09E-06
22142,5.09E-06
67508,5.09E-06
10365,5.09E-06
30475,5.09E-06
28005,5.09E-06
47452,5.09E-06
57230,5.09E-06
